edge_id,u,v,length_km,usage,service,gauge,electrified,voltage,railway,operator,network
OSM-E0304,37,39,0.752,main,,1676,contact_line,25000,rail,,
OSM-E0305,77,79,0.027,main,,1676,contact_line,25000,rail,,
OSM-E0306,78,77,2.098,main,,1676,contact_line,25000,rail,,
OSM-E0307,196,75,0.015,main,,1676,contact_line,25000,rail,,
OSM-E0308,79,196,1.434,main,,1676,contact_line,25000,rail,,
OSM-E0310,171,224,0.313,main,,1676,contact_line,25000,rail,,
OSM-E0311,65,128,0.015,main,,1676,contact_line,25000,rail,,
OSM-E0312,128,190,2.206,main,,1676,contact_line,25000,rail,,
OSM-E0313,190,171,2.002,main,,1676,contact_line,25000,rail,,
OSM-E0314,167,165,0.063,main,,1676,contact_line,25000,rail,,
OSM-E0315,165,225,0.016,main,,1676,contact_line,25000,rail,,
OSM-E0316,225,34,0.041,main,,1676,contact_line,25000,rail,,
OSM-E0317,29,31,0.139,main,,1676,contact_line,25000,rail,,
OSM-E0318,173,212,0.014,main,,1676,contact_line,25000,rail,,
OSM-E0319,212,173,0.013,main,,1676,contact_line,25000,rail,,
OSM-E0320,173,27,2.351,main,,1676,contact_line,25000,rail,,
OSM-E0321,95,158,0.434,main,,1676,contact_line,25000,rail,,
OSM-E0322,224,60,0.034,main,,1676,contact_line,25000,rail,,
OSM-E0323,226,178,0.26,main,,1676,contact_line,25000,rail,,
OSM-E0324,177,176,0.05,main,,1676,contact_line,25000,rail,,
OSM-E0325,203,227,1.623,branch,,1676,contact_line,25000,rail,,
OSM-E0326,227,228,0.017,branch,,1676,contact_line,25000,rail,,
OSM-E0327,228,229,0.402,branch,,1676,contact_line,25000,rail,,
OSM-E0328,229,133,0.022,branch,,1676,contact_line,25000,rail,,
OSM-E0329,230,101,0.963,main,,1676,contact_line,25000,rail,,
OSM-E0330,66,230,3.904,main,,1676,contact_line,25000,rail,,
OSM-E0331,230,101,0.964,main,,1676,contact_line,25000,rail,,
OSM-E0332,158,95,0.433,main,,1676,contact_line,25000,rail,,
OSM-E0333,231,215,0.133,main,,1676,contact_line,25000,rail,,
OSM-E0334,232,233,0.073,,,,,,rail,,
OSM-E0335,216,81,0.885,main,,1676,contact_line,25000,rail,,
OSM-E0337,81,217,0.951,main,,1676,contact_line,25000,rail,Indian Railway,
OSM-E0339,234,235,0.072,siding,,1676,contact_line,25000,rail,,
OSM-E0340,186,188,0.021,main,,1676,contact_line,25000,rail,,
OSM-E0341,188,185,0.571,main,,1676,contact_line,25000,rail,,
OSM-E0342,188,186,0.026,main,,1676,contact_line,25000,rail,,
OSM-E0343,186,64,0.368,main,,1676,contact_line,25000,rail,,
OSM-E0344,236,164,0.287,main,,1676,contact_line,25000,rail,,
OSM-E0345,144,236,0.018,main,,1676,contact_line,25000,rail,,
OSM-E0346,163,236,0.379,main,,1676,contact_line,25000,rail,,
OSM-E0347,236,144,0.019,main,,1676,contact_line,25000,rail,,
